,number,title,date,agree
65,37,“부동산 적폐의 몸통”인 주택임대사업자 세금특혜를 전면 폐지하라. 권력 내부자가 주택임대사업자로 등록하여 부당하게 취득한 세금특혜를 전액 환수하라,2021-05-05,"1,838명"
66,36,강원도 원주시 레미콘 업체들의 레미콘 출하를 할수 있도록 도와 주십시요,2021-05-05,"1,345명"
67,35,부실임대사업자의 공공임대아파트 경매막아주세요!,2021-05-05,963명
68,34,도로 공사로 인한 위험에서 구조해 주세요...,2021-05-05,163명
69,33,공사비를 떼먹은 건축주가 문서위조로 준공을 받았는데도 경찰/검찰은 무혐의라고 합니다.,2021-05-05,272명
70,32,6호선 남양주연장안은 반드시 덕소와부권역으로 추진되어야 합니다 !,2021-05-02,"1,723명"
71,31,거주민 일조권 조망권 무시하는 주상복합 아파트 건설 중단 청원의건(대구 구 **마트 **점 부지),2021-05-02,207명
72,30,근생빌라 구제해 주세요,2021-05-02,603명
73,29,**동**-** 공공재개발 공모구역과 공공주도의 개발 사업 중복 구역 철회 관련 청원,2021-05-02,437명
74,28,시공사의 횡포를 막아주세요,2021-05-02,190명
75,27,울산 동구 **동 *** 1800세대 4500명이 사는 아파트 인도(둘레길/보행자통로)의 복구 청원합니다.,2021-05-01,469명
76,26,아파트값 담합 주범 ***를 고발합니다,2021-05-01,"1,340명"
77,25,종로구청에서 저희집을 무허가로 만들었습니다,2021-05-01,372명
78,24,과천 3기신도시 주택 사기분양 업자를 고발합니다,2021-04-30,273명
79,23,**코리아(**모터스)배짱 AS,2021-04-30,247명
80,22,** 코리아㈜는 자동차관리법 제32조 2의 제1항 3호에 의거하여 자동차 정비업자에게 답변을 해야 합니다.,2021-04-30,738명
81,21,부동산 투기 전직역 전지역 전수 조사 청원합니다.,2021-04-30,420명
82,20,춘천레고랜드 사업 중단 및 철회 요청드립니다.,2021-04-30,"7,773명"
83,19,보증금 돌려 받을수있게......도와주세요......대통령님!,2021-04-29,271명
84,18,인테리어사기!! 강력한 처벌법 만들어주세요??,2021-04-29,395명
85,17,"경남 개발공사, ** *** 아파트의 일방적인 계약내용 변경",2021-04-29,156명
86,16,"공공지원 민간임대(5년) 아파트 분양전환 관련, 호소문",2021-04-28,505명
87,15,지중하 공사 저지 건,2021-04-28,154명
88,14,LH는 신혼희망타운 분양세대 건축비로 행복주택 건축하는 부분을 정확히 설명해라!!,2021-04-28,"1,626명"
89,13,"대한민국 역대급 “제주도발 자동차 금융 종합사기” 전국적 피해자 속출, !!신속한 수사 촉구합니다.!!",2021-04-28,275명
90,12,경기도 고양시 향동동의 서울시 편입을 청원합니다.,2021-04-28,"2,044명"
